v1,v2,Unique_Stopword_Count,Word_Count,Stopword_Count,Unique_Stem_Count,Unique_Word_Count,Unique_Word_Count/Word_Count
spam,07732584351  rodger burns  message  tried call reply sms free nokia mobile  free camcorder please call 08000930705 delivery tomorrow,0,18,0,16,16,0.8888888888888888
ham,seeing,0,1,0,1,1,1.0
ham,great hope like man well endowed ltgt inches,0,8,0,8,8,1.0
ham,callsmessagesmissed calls,0,2,0,2,2,1.0
ham,get hep b immunisation nigeria,0,5,0,5,5,1.0
ham,fair enough anything going on,1,5,1,5,5,1.0
ham,yeah hopefully tyler cannot could maybe ask around bit,2,10,2,10,10,1.0
ham,know stubborn am even want go hospital kept telling mark weak sucker hospitals weak suckers,1,15,1,12,14,0.9333333333333333
ham,thinked me first time saw class,1,6,1,6,6,1.0
ham,gram usually runs like ltgt  half eighth smarter though gets almost whole second gram ltgt,0,15,0,13,13,0.8666666666666667
ham,k fyi x ride early tomorrow morning crashing place tonight,0,10,0,10,10,1.0
ham,wow never realized embarassed accomodations thought liked it since best could always seemed happy the cave sorry give sorry offered sorry room embarassing,2,23,2,20,21,0.9130434782608695
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,0,18,0,16,16,0.8888888888888888
ham,know mallika sherawat yesterday find  lturlgt,0,6,0,6,6,1.0
spam,congrats 1 year special cinema pass 2 yours call 09061209465 now c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss out,3,23,3,23,23,1.0
ham,sorry call later meeting,0,4,0,4,4,1.0
ham,tell reached,0,2,0,2,2,1.0
ham,yesgauti sehwag odi series,0,4,0,4,4,1.0
ham,going pick 1 burger way home cannot even move pain killing me,3,13,3,13,13,1.0
ham,ha ha ha good joke girls situation seekers,0,8,0,6,6,0.75
ham,part checking iq,0,3,0,3,3,1.0
ham,sorry roommates took forever ok come now,1,7,1,7,7,1.0
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0,18,0,16,16,0.8888888888888888
spam,valued customer pleased advise following recent review mob no awarded a1500 bonus prize call 09066364589,1,15,1,15,15,1.0
ham,today song dedicated day song dedicate me send valuable frnds first rply me,1,13,2,10,11,0.8461538461538461
spam,urgent awarded complimentary trip eurodisinc trav acoentry41 a1000 claim txt dis 87121 186a150morefrmmob shracomorsglsuplt10 ls1 3aj,0,16,0,16,16,1.0
spam,hear new divorce barbie comes kens stuff,0,7,0,7,7,1.0
ham,plane give month end,0,4,0,4,4,1.0
ham,wah lucky man save money hee,0,6,0,6,6,1.0
ham,finished class you,1,3,1,3,3,1.0
ham,hi babe home want something xx,0,6,0,6,6,1.0
ham,kkwhere youhow performed,0,3,0,3,3,1.0
ham,call now,1,2,1,2,2,1.0
ham,waiting machan call free,0,4,0,4,4,1.0
ham,cool gentleman treat dignity respect,0,5,0,5,5,1.0
ham,like peoples much shy pa,0,5,0,5,5,1.0
ham,operate ltgt,0,2,0,2,2,1.0
ham,here still looking job much tas earn there,2,8,2,8,8,1.0
ham,sorry call later,0,3,0,3,3,1.0
ham,k call ah,0,3,0,3,3,1.0
ham,ok way home hi hi,0,5,0,4,4,0.8
ham,place man,0,2,0,2,2,1.0
ham,yup next stop,0,3,0,3,3,1.0
ham,call later network urgnt sms me,1,6,1,6,6,1.0
ham,real getting yo need 2 tickets one jacket done already used multis,0,12,0,12,12,1.0
ham,yes started send requests make pain came back back bed double coins factory too got cash nitros,1,17,1,16,16,0.9411764705882353
ham,really still tonight babe,0,4,0,4,4,1.0
ham,ela kanoil download come wen free,0,6,0,6,6,1.0
ham,yeah do donut stand close though youull catch something,1,9,1,9,9,1.0
ham,sorry pain ok meet another night spent late afternoon casualty means done stuff42moro includes time sheets that sorry,1,18,1,17,17,0.9444444444444444
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves see smiling,0,19,0,14,15,0.7894736842105263
spam,please call customer service representative 0800 169 6031 10am9pm guaranteed a1000 cash a5000 prize,0,14,0,14,14,1.0
ham,planning buy later check already lido got 530 show e afternoon finish work already,0,14,0,13,13,0.9285714285714286
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,0,14,0,14,14,1.0
ham,watching telugu moviewat you,1,4,1,4,4,1.0
ham,see finish loads loans pay,0,5,0,5,5,1.0
ham,hi wk ok  hols now yes bit run forgot hairdressers appointment four need get home n shower beforehand prob you ham,2,21,2,21,21,1.0
ham,please text anymore nothing else say,0,6,0,6,6,1.0
ham,okay name price long legal wen pick up ave x ams xx,1,12,1,12,12,1.0
ham,still looking car buy gone 4the driving test yet,0,9,0,9,9,1.0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,16,0,14,14,0.875
ham,wow right mean that guess gave boston men changed search location nyc something changed cuz signin page still says boston,1,20,1,18,18,0.9
ham,umma life vava umma love lot dear,0,7,0,6,6,0.8571428571428571
ham,thanks lot wishes birthday thanks making birthday truly memorable,0,9,0,7,7,0.7777777777777778
ham,aight hit get cash,0,4,0,4,4,1.0
ham,would ip address test considering computer minecraft server,0,8,0,8,8,1.0
ham,know grumpy old people mom like better lying always one play jokes,0,12,0,12,12,1.0
ham,worry guess busy,0,3,0,3,3,1.0
ham,plural noun research,0,3,0,3,3,1.0
ham,going dinnermessage after,1,3,1,3,3,1.0
ham,ok wif cos like 2 try new things scared dun like mah cos said loud,0,15,0,13,13,0.8666666666666667
spam,gent trying contact you last weekends draw shows a1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,2,20,2,20,20,1.0
ham,wa openin sentence formal anyway fine too juz tt eatin much n puttin weighthaha anythin special happened,1,17,1,17,17,1.0
ham,entered cabin pa said  happy bday boss  felt special askd 4 lunch lunch invited apartment went there,1,17,1,16,16,0.9411764705882353
spam,winner specially selected 2 receive a1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18,0,17,0,16,16,0.9411764705882353
ham,goodo yes must speak friday  eggpotato ratio tortilla needed,0,9,0,9,9,1.0
ham,hmmmy uncle informed paying school directly pls buy food,0,9,0,9,9,1.0
spam,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires,0,17,0,17,17,1.0
spam,urgent mobile no awarded a2000 bonus caller prize 5903 final try contact you call landline 09064019788 box42wr29c 150ppm,2,18,2,18,18,1.0
ham,new address applespairsall malarky,0,4,0,4,4,1.0
spam,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,0,20,0,20,20,1.0
ham,going sao mu today done 12,0,6,0,6,6,1.0
ham,ii predict wat time ill finish buying,0,7,0,7,7,1.0
ham,good stuff do,1,3,1,3,3,1.0
ham,knowyetunde sent money yet sent text bother sending over involve anything imposed anything first place that apologise,2,17,2,15,15,0.8823529411764706
ham,room,0,1,0,1,1,1.0
ham,hey girl r you hope r well del r bak long time c give call sum time lucyxx,1,18,1,15,15,0.8333333333333334
ham,kkhow much cost,0,3,0,3,3,1.0
ham,home,0,1,0,1,1,1.0
ham,dear call tmorrowpls accomodate,0,4,0,4,4,1.0
ham,first answer question,0,3,0,3,3,1.0
spam,sunshine quiz wkly q win top sony dvd player know country algarve in txt ansr 82277 a150 sptyrone,1,18,1,18,18,1.0
spam,want 2 get laid tonight want real dogging locations sent direct 2 mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmessage150p,0,25,0,22,22,0.88
ham,haf msn yijuehotmailcom,0,3,0,3,3,1.0
ham,there call meet,1,3,1,3,3,1.0
ham,no check rooms befor activities,1,5,1,5,5,1.0
spam,rcv msgs chat svc free hardcore services text go to 69988 get nothing must age verify yr network  try,1,19,1,19,19,1.0
ham,got c lazy type forgot i lect saw pouch like v nice,1,12,1,12,12,1.0
ham,k text way,0,3,0,3,3,1.0
ham,sir waiting mail,0,3,0,3,3,1.0
ham,swt thought nver get tired little things 4 lovable persons cozsomtimes little things occupy biggest part hearts gud ni8,0,19,0,17,17,0.8947368421052632
ham,know are pls open back,1,5,1,5,5,1.0
ham,yes see ya dot,0,4,0,4,4,1.0
ham,staff name taking class us,0,5,0,5,5,1.0
spam,freemsg replied text randy sexy female live local love hear you netcollex ltd 08700621170150p per message reply stop end,1,19,1,18,19,1.0
ham,ummmawill call check inour life begin qatar pls pray hard,0,10,0,10,10,1.0
ham,ki deleted contact why,1,4,1,4,4,1.0
ham,sindu got job birla soft ,0,5,0,5,5,1.0
ham,wine flowing nevering,0,3,0,3,3,1.0
ham,yup thk cine better cos need 2 go 2 plaza mah,0,11,0,10,10,0.9090909090909091
ham,ok typical reply,0,3,0,3,3,1.0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,16,0,14,14,0.875
ham,everywhere dirt floor windows even shirt sometimes open mouth comes flowing out dream world without you half chores too time joy me lots tv shows ill see guess like things must exist like rain hail mist time done become one,4,40,4,38,38,0.95
ham,aaooooright work,0,2,0,2,2,1.0
ham,leaving house now,1,3,1,3,3,1.0
ham,hello love doing get interview today happy good boy think meare missing ,1,12,1,12,12,1.0
spam,customer service annoncement new years delivery waiting you please call 07046744435 arrange delivery,1,13,1,12,12,0.9230769230769231
spam,winner specially selected 2 receive a1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,0,17,0,16,16,0.9411764705882353
ham,keep safe need miss already envy everyone sees real life,0,10,0,10,10,1.0
ham,new car house parentsi new job hand,0,7,0,6,6,0.8571428571428571
ham,love you excited day spend you make happy,1,8,2,7,7,0.875
spam,pls stop bootydelious 32f inviting friend reply yes434 no434 see her wwwsmsacyoubootydelious stop send stop frnd 62468,1,17,1,15,15,0.8823529411764706
spam,bangbabes order way receive service message 2 download content not goto wap bangb tv mobile internetservice menu,1,17,1,17,17,1.0
ham,place points e cultures module already,0,6,0,6,6,1.0
spam,urgent trying contact you last weekends draw shows a900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,1,18,1,18,18,1.0
ham,hi frnd best way avoid missunderstding wit beloved ones,0,9,0,9,9,1.0
ham,great escape fancy bridge needs lager see tomo,0,8,0,8,8,1.0
ham,yes it completely formclark also utter waste,1,7,1,7,7,1.0
ham,sir need axis bank account bank address,0,7,0,6,6,0.8571428571428571
ham,hmmm thk sure got time hop ard ya go 4 free about muz call discuss liao,1,16,1,16,16,1.0
ham,time coming later,0,3,0,3,3,1.0
ham,bloody hell cannot believe forgot surname mr  ill give clue spanish begins m,3,14,3,14,14,1.0
ham,well going finish bath now goodfine night,1,7,1,7,7,1.0
ham,let know got money carlos make call,0,7,0,7,7,1.0
ham,still going mall,0,3,0,3,3,1.0
ham,turns friends staying whole show back til  ltgt  feel free go ahead smoke  ltgt worth,0,15,0,14,14,0.9333333333333333
ham,text her reply let know log,1,6,1,6,6,1.0
ham,hi spoke maneesha v would like know satisfied experience reply toll free yes no,1,14,1,14,14,1.0
ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend,0,14,0,14,14,1.0
ham,lol no trust me,2,4,2,4,4,1.0
ham,ok gentleman treat dignity respect,0,5,0,5,5,1.0
ham,will guys close,1,3,1,3,3,1.0
ham,going nothing greatbye,0,3,0,3,3,1.0
ham,hello handsome  finding job  lazy  working towards getting back net mummy  boytoy  miss ,0,13,0,13,13,1.0
ham,haha awesome minute,0,3,0,3,3,1.0
spam,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed a1000 cash a5000 prize,0,15,0,15,15,1.0
ham,got xmas radio times get,0,5,0,5,5,1.0
ham,jus reached home go bathe first sis using net tell finishes k,0,12,0,12,12,1.0
spam,unique enough find 30th august wwwareyouuniquecouk,0,6,0,6,6,1.0
ham,sorry joined league people keep touch mean great deal me friend times even great personal cost great week,1,18,1,16,16,0.8888888888888888
ham,hi finally completed course,0,4,0,4,4,1.0
ham,stop itself however suggest stays someone able give ors every stool,1,11,1,11,11,1.0
ham,doing hope settled new school year wishin gr8 day,1,9,1,9,9,1.0
ham,gud mrng dear hav nice day,0,6,0,6,6,1.0
ham,got persons story,0,3,0,3,3,1.0
ham,hamster dead hey tomorrow meet 1pm orchard mrt,0,8,0,8,8,1.0
ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back can  xxx,1,13,1,13,13,1.0
ham,found it enc ltgt  at,2,5,2,5,5,1.0
ham,sent ltgt bucks,0,3,0,3,3,1.0
ham,hello darlin finished college txt finish love kate xxx,0,9,0,8,9,1.0
ham,account refilled successfully inr ltdecimalgt  keralacircle prepaid account balance rs ltdecimalgt  transaction id kr ltgt ,0,15,0,13,13,0.8666666666666667
ham,goodmorning sleeping ga,0,3,0,3,3,1.0
ham,call alter 11 ok,0,4,0,4,4,1.0
ham,ii say like dat dun buy ericsson oso cannot oredi lar,2,12,2,12,12,1.0
ham,entered cabin pa said  happy bday boss  felt special askd 4 lunch lunch invited apartment went there,1,17,1,16,16,0.9411764705882353
ham,aight yo dats straight dogg,0,5,0,5,5,1.0
ham,please give us connection today ltdecimalgt refund bill,0,8,0,8,8,1.0
ham, shoot big loads get ready,0,5,0,5,5,1.0
ham,bruv hope great break rewarding semester,0,6,0,6,6,1.0
ham,home always chat,0,3,0,3,3,1.0
ham,kkgoodstudy well,0,2,0,2,2,1.0
ham,yup i noe leh,1,4,1,4,4,1.0
ham,sounds great home now,1,4,1,4,4,1.0
ham,finally match heading towards draw prediction,0,6,0,6,6,1.0
ham,tired slept well past nights,0,5,0,5,5,1.0
ham,easy ahsen got selected means good,0,6,0,6,6,1.0
ham,take exam march 3,0,4,0,4,4,1.0
ham,yeah should think use gt atm register sure anyway help let know sure ready,1,14,1,13,13,0.9285714285714286
ham,ok prob take time,0,4,0,4,4,1.0
ham,os called ubandu run without installing hard diskyou use os copy important files system give repair shop,0,17,0,16,16,0.9411764705882353
ham,sorry call later,0,3,0,3,3,1.0
ham,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0,18,0,16,16,0.8888888888888888
spam,500 new mobiles 2004 must go txt nokia no 89545  collect todayfrom a1 www4tcbiz 2optout 08718726270150gbpmtmsg18,1,16,1,16,16,1.0
ham,would really appreciate call me need someone talk to,2,9,2,9,9,1.0
spam,meet dream partner soon career 2 flyng start 2 find free txt horo followed star sign e g horo aries,0,20,0,18,18,0.9
ham,hey company elama po mudyadhu,0,5,0,5,5,1.0
ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning  ,0,19,0,12,13,0.6842105263157895
ham,dear good morning,0,3,0,3,3,1.0
ham,get gandhipuram walk cross cut road right side ltgt street road turn first right,0,14,0,12,12,0.8571428571428571
ham,dear going rubber place,0,4,0,4,4,1.0
ham,sorry battery died yeah,0,4,0,4,4,1.0
ham,yeshere tv always available work place,0,6,0,6,6,1.0
spam,text  meet someone sexy today find date even flirt you join 4 10p reply name  age eg sam 25 18 message recdthirtyeight pence,1,23,1,23,23,1.0
ham,printed oh ltgt come upstairs,0,5,0,5,5,1.0
ham,ill little closer like bus stop street,0,7,0,7,7,1.0
ham,youwhen wil reach here,1,4,1,4,4,1.0
ham,new theory argument wins situation loses person argue friends just    kick amp say always correct,1,15,1,15,15,1.0
spam,447801259231 secret admirer looking 2 make contact youfind rreveal thinks specialcall 09058094597,0,12,0,12,12,1.0
ham,tomarrow final hearing laptop case cannot,2,7,2,7,7,1.0
ham,pleassssssseeeeee tel v avent done sportsx,0,6,0,6,6,1.0
ham,okay no shining on meant signing sounds better,2,8,2,8,8,1.0
ham,although told dat baig face watches really like e watch gave cos fr you thanx 4 everything dat done today touched,1,21,1,19,20,0.9523809523809523
ham,remember old commercial,0,3,0,3,3,1.0
ham,late said website slippers,0,4,0,4,4,1.0
ham,asked call ok,0,3,0,3,3,1.0
ham,kallis bat 2nd innings,0,4,0,4,4,1.0
ham,work oh ok goodnight then ill fix ready time wake up dearly missed good night sleep,2,16,2,16,16,1.0
spam,congratulations awarded 500 cd vouchers 125gift guaranteed  free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16,0,18,0,18,18,1.0
ham,ranjith cal drpd deeraj deepak 5min hold,0,7,0,7,7,1.0
ham,wen lovable bcums angry wid you dnt take seriously coz angry childish n true way showing deep affection care n love kettoda manda nice day da,1,26,1,24,24,0.9230769230769231
ham,doinghow you,1,2,1,2,2,1.0
ham,ups 3days also shipping company takes 2wks way usps takes week gets lag may bribe nipost get stuff,0,18,0,16,17,0.9444444444444444
ham,back let know ready,0,4,0,4,4,1.0
ham,necessarily expect done get back though headin,0,7,0,7,7,1.0
ham,mmm yummy babe  nice jolt suzy,0,6,0,6,6,1.0
ham,lover  need ,0,2,0,2,2,1.0
spam,tried contact reply offer video handset 750 anytime networks mins unlimited text camcorder reply call 08000930705,0,16,0,15,15,0.9375
ham,ium parked next mini coming today think,0,7,0,7,7,1.0
ham,yup,0,1,0,1,1,1.0
ham,anyway going shopping now cos sis done yet dun disturb liao,1,11,1,11,11,1.0
ham,no luton 0125698789 ring around h,1,6,1,6,6,1.0
spam,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,0,17,0,14,14,0.8235294117647058
ham,dint come us,0,3,0,3,3,1.0
ham,same wana plan trip sometme,1,5,1,5,5,1.0
ham,sure yet still trying get hold,0,6,0,6,6,1.0
spam,ringtone service changed 25 free credits go club4mobilescom choose content now stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,1,22,1,21,21,0.9545454545454546
ham,evo download flash jealous,0,4,0,4,4,1.0
spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,0,15,0,14,14,0.9333333333333333
ham,come mu sorting narcotics situation,0,5,0,5,5,1.0
ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,0,18,0,17,17,0.9444444444444444
spam,hmv bonus special 500 pounds genuine hmv vouchers won answer 4 easy questions play now send hmv 86688 infowww100percentrealcom,2,19,2,17,17,0.8947368421052632
ham,usf guess might well take 1 car,0,7,0,7,7,1.0
ham,objection bf coming,0,3,0,3,3,1.0
ham,thanx,0,1,0,1,1,1.0
ham,tell rob mack gf theater,0,5,0,5,5,1.0
ham,awesome see bit,0,3,0,3,3,1.0
ham,sent it type food like,1,5,1,5,5,1.0
ham,done handed in celebrations full swing yet,1,7,1,7,7,1.0
ham,got called tool,0,3,0,3,3,1.0
ham,wen miss someone,0,3,0,3,3,1.0
ham,ok asked money far,0,4,0,4,4,1.0
ham,okie,0,1,0,1,1,1.0
ham,yeah think usual guys still passed last night get ahold anybody let know throw,0,14,0,14,14,1.0
ham,k might come tonight class let us early,0,8,0,8,8,1.0
ham,ok,0,1,0,1,1,1.0
ham,hi baby cruisin girl friend r 2 give call hour home alright fone fone love jenny xxx,0,17,0,16,16,0.9411764705882353
ham,life means lot me love life love people life world calls friends call world ge,1,15,1,10,11,0.7333333333333333
ham,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,0,15,0,15,15,1.0
ham,hey told name gautham ah,0,5,0,5,5,1.0
ham,haf found him feel stupid da v cam working,1,9,1,9,9,1.0
ham,oops 4 got bit,0,4,0,4,4,1.0
ham,much buzy,0,2,0,2,2,1.0
ham,accidentally deleted message resend please,0,5,0,5,5,1.0
spam,tmobile customer may claim free camera phone upgrade  pay  go sim card loyalty call 0845 021 3680offer ends 28thfebtcs apply,0,20,0,20,20,1.0
ham,unless situation go gurl would appropriate,0,6,0,6,6,1.0
ham,hurt me tease me make cry end life die plz keep one rose grave say stupid miss you nice day bslvyl,2,21,3,20,20,0.9523809523809523
ham,cannot pick phone right now pls send message,3,9,3,9,9,1.0
ham,need coffee run tomocannot believe time week already,0,8,0,8,8,1.0
ham,awesome remember last time got somebody high first time diesel v,0,11,0,10,10,0.9090909090909091
ham,shit really shocking scary cannot imagine second def night out think somewhere could crash night save taxi,3,18,3,17,17,0.9444444444444444
ham,oh way food fridge want go meal tonight,0,8,0,8,8,1.0
ham,womdarfull actor,0,2,0,2,2,1.0
spam,sms ac blind date 4u rodds1 21m aberdeen united kingdom check httpimg sms acwicmb3cktz8r74 blind dates send hide,0,18,0,15,16,0.8888888888888888
ham,yup remb think book,0,4,0,4,4,1.0
ham,jos ask wana meet up,1,5,1,5,5,1.0
ham,lol yes friendship hanging thread buy stuff,0,7,0,7,7,1.0
spam,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap 82468,0,17,0,17,17,1.0
ham,garage keys bookshelf,0,3,0,3,3,1.0
ham,today accept dayyou accept as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,1,21,1,20,20,0.9523809523809523
spam,think smart  win a200 week weekly quiz text play 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week,0,19,0,19,19,1.0
ham,says give call friends got money definitely buying end week,0,10,0,10,10,1.0
ham,hi way 2day normal waythis real me uniquei hope know 4 rest mylife hope find wot lost,1,17,1,16,16,0.9411764705882353
ham,made day great day too,1,5,1,4,4,0.8
ham,kkadvance happy pongal,0,3,0,3,3,1.0
ham,hmmm guess go 4 kb n power yoga haha know tahan power yoga anot thk got lo oso forgot liao,0,20,0,18,18,0.9
ham,really dude friends afraid ,0,4,0,4,4,1.0
spam,december only mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906,1,17,1,13,13,0.7647058823529411
ham,coffee cake guess,0,3,0,3,3,1.0
ham,merry christmas babe love ya kisses,0,6,0,6,6,1.0
ham,hey go watch x men lunch haha,0,7,0,7,7,1.0
ham,cud tell people gona b bit l8 cos 2 buses hav gon past cos full  still waitin 4 1 pete x,0,21,0,20,20,0.9523809523809523
ham,would great guild could meet bristol road somewhere  get touch weekend plans take flight good week,0,16,0,16,16,1.0
ham,problem doing,1,2,1,2,2,1.0
ham,callsmessagesmissed calls,0,2,0,2,2,1.0
ham,hi dahow todays class,0,4,0,4,4,1.0
ham,would say good sign but well know track record reading women,1,11,1,11,11,1.0
ham,cool text parked,0,3,0,3,3,1.0
ham,reading text sent you meant joke read light,1,8,1,7,8,1.0
ham,kkapo kgood movie,0,3,0,3,3,1.0
ham,maybe could get book tomo return immediately  something,0,8,0,8,8,1.0
spam,call germany 1 pence per minute call fixed line via access number 0844 861 85 85 prepayment direct access,0,19,0,16,16,0.8421052631578947
ham,chance might evaporated soon violated privacy stealing phone number employers paperwork cool all please contact report supervisor,1,17,1,17,17,1.0
spam,valentines day special win a1000 quiz take partner trip lifetime send go 83600 now 150pmessage rcvd custcare08718720201,1,17,1,17,17,1.0
ham,tadaaaaa home babe still ,0,4,0,4,4,1.0
ham,cool come wined dined before,1,5,1,5,5,1.0
ham,sleepingand surfing,0,2,0,2,2,1.0
ham,sorry call later,0,3,0,3,3,1.0
ham,calling right call hand phone,0,5,0,4,5,1.0
ham,ok great thanx lot,0,4,0,4,4,1.0
ham,take post come then must 1000s texts now happy reading one wiv hello caroline end favourite bless,2,17,2,17,17,1.0
ham,hiding stranger,0,2,0,2,2,1.0
ham,interested like that,1,3,1,3,3,1.0
ham,sister cleared two round birla soft yesterday,0,7,0,7,7,1.0
ham,gudnitetcpractice going,0,2,0,2,2,1.0
ham,dis yijue jus saw mail case huiming sent num dis num,0,11,0,9,9,0.8181818181818182
ham,one small prestige problem now,1,5,1,5,5,1.0
spam,fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per message tncs website x,0,16,0,15,16,1.0
ham,checking you really miss seeing jeremiah great month,1,8,1,8,8,1.0
ham,nah cannot help there never iphone,3,7,3,7,7,1.0
ham,car hour half going apeshit,0,5,0,5,5,1.0
ham,today sorry day ever angry you ever misbehaved hurt you plz plz slap urself bcoz fault basically good,1,18,2,15,15,0.8333333333333334
ham,yo guys ever figure much need alcohol jay trying figure much safely spend weed,0,14,0,12,12,0.8571428571428571
ham,ltgt ish minutes 5 minutes ago wtf,0,7,0,6,6,0.8571428571428571
ham,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer,0,19,0,19,19,1.0
